rank	source_id	year	doi	title	venue	type	abstract
49	181c87533d4370326af12b4b14b338bd5de27305	2026	10.3389/fdata.2026.1842233	Evolutionary multi-agent reinforcement learning for crisis-aware demographic policy optimization	Frontiers in Big Data	JournalArticle	Demographic systems face unprecedented challenges from simultaneous crises. Conventional statistical demography techniques and agent–based models often struggle to capture nonlinear inter–regional interactions during periods of severe socio–economic disruption. To address this, we propose MADDPG–EVO–DGM, a hybrid algorithm that integrates multi–agent deep reinforcement learning with evolutionary optimisation and meta–learning principles to model regional demographic processes under multiple crisis scenarios. Each region is treated as an autonomous agent learning to steer demographic policy levers, while periodic evolutionary “boosters” overcome local optima via population–based perturbations of actor network parameters. Additionally, a Darwin–Gödel Machine–inspired meta–learning mechanism adapts the booster triggers, enabling self–improvement in the learning process. We evaluate MADDPG–EVO–DGM on a simulation environment calibrated with real demographic data for eight federal regions of the Russian Federation over the period 2000–2024 and subject to ten concurrent crisis scenarios (e.g., pandemic, geopolitical conflict, economic collapse). Experiments demonstrate significantly faster convergence and improved performance over a baseline MADDPG: the hybrid approach achieves a higher final average reward (252.57 vs. 243.07) and 3.4 × lower convergence variance (σ = 0.24 vs. 0.80), indicating more reliable training. It also exhibits qualitative performance jumps of +68% during evolutionary phases and maintains 35%–45% greater resilience under crisis shocks compared to the baseline. To our knowledge, this is the first application of multi–agent reinforcement learning to large–scale demographic modeling under crises, opening new possibilities for evidence–based, crisis–resilient population policy design. Code, data, and logs are provided to ensure reproducibility.
50	becca01be5e910a1c9d8e5f31462c43c53443ee3	2026	10.21686/6/2500-3925-2026-3-18-28	Reproductive Potential of Youth in Russian Regions: Factors of Formation and Spatial Differentiation	Statistics and Economics	JournalArticle	"
 
 Purpose of research.
  The article presents the results of a comprehensive analysis of reproductive potential in the Russian Federation, including the dynamics of demographic indexes and the identification of key socio-economic factors affecting the birth rate at the regional level.
 
 
 
 
 Materials and methods.
  The presented study used a set of methods. The analysis of the birth rate dynamics based on Rosstat statistical data was carried out for the period 1990–2023. Correlation and regression analysis was conducted to identify the determinants of regional differentiation in reproductive indexes. The age-specific fertility rate in the 18–34 age group was used as the resulting index. The list of independent variables includes 18 socio-economic, demographic, and infrastructure indexes. The clustering procedure allowed us to identify groups of regions with similar reproductive potential. The Sh. Almon method was used to analyze lag effects.
 
 
 
 
 The study results
  confirm a steady downward trend in reproductive potential in the Russian Federation. The number of young people aged 18–34 has decreased from 38.5 million in 1990 to 28.9 million in 2023, and the total fertility rate has returned to the low level of 1999 (8.7‰) and reached a critically low level. The analysis of age-specific fertility rates shows a significant shift towards older ages for childbearing. By 2023, the total fertility rate had decreased to 1.41, remaining significantly below the level required for simple population reproduction.
 
 
 
 The results of the regression analysis for the most numerous cluster of regions showed that 72% of the variation in the age-specific birth rate is explained by four factors: the number of university students, the availability of housing per person, the coverage of neonatal screening, and the volume of housing construction. At the same time, the distributed lag model revealed that the impact of these factors occurs with a delay of 2-3 years.
 
 
 
 Results
  . The reproductive potential of Russian youth is under double pressure: a structural reduction in the size of the cohort and a transformation of reproductive behavior towards later and smaller families. The key constraints are the focus on higher education and career, as well as the parameters of housing security, which act as indexes of urbanization and the specific age structure of the region. Demographic policy measures aimed at increasing the birth rate should consider the identified lag effects and regional heterogeneity, shifting the focus from 
 
 direct incentives to creating conditions for combining professional and family development at a young age. This ultimately requires a transition to targeted and scientifically based regional strategies.
"
51	9fdc926e2c8ceb61348e49b0150dc1b88575f522	2025	10.48550/arXiv.2506.08460	MOBODY: Model Based Off-Dynamics Offline Reinforcement Learning	arXiv.org	JournalArticle	We study off-dynamics offline reinforcement learning, where the goal is to learn a policy from offline source and limited target datasets with mismatched dynamics. Existing methods either penalize the reward or discard source transitions occurring in parts of the transition space with high dynamics shift. As a result, they optimize the policy using data from low-shift regions, limiting exploration of high-reward states in the target domain that do not fall within these regions. Consequently, such methods often fail when the dynamics shift is significant or the optimal trajectories lie outside the low-shift regions. To overcome this limitation, we propose MOBODY, a Model-Based Off-Dynamics Offline RL algorithm that optimizes a policy using learned target dynamics transitions to explore the target domain, rather than only being trained with the low dynamics-shift transitions. For the dynamics learning, built on the observation that achieving the same next state requires taking different actions in different domains, MOBODY employs separate action encoders for each domain to encode different actions to the shared latent space while sharing a unified representation of states and a common transition function. We further introduce a target Q-weighted behavior cloning loss in policy optimization to avoid out-of-distribution actions, which push the policy toward actions with high target-domain Q-values, rather than high source domain Q-values or uniformly imitating all actions in the offline dataset. We evaluate MOBODY on a wide range of MuJoCo and Adroit benchmarks, demonstrating that it outperforms state-of-the-art off-dynamics RL baselines as well as policy learning methods based on different dynamics learning baselines, with especially pronounced improvements in challenging scenarios where existing methods struggle.
52	c492f795fcc4c084f10d9308243bd0f66770252a	2023	10.3390/su151713131	Severity Predictions for Intercity Bus Crashes on Highway Using a Random Parameter Ordered Probit Model	Sustainability	JournalArticle	As intercity buses are a mode that moves large-scale occupancy between regions, it accounts for the mode share-means for mid- to long-distance movement in South Korea. However, the study of intercity bus safety needs to be more extensive, and safety policies are carried out based on traditional probability models without considering the data characteristics of bus accidents. Therefore, in this study, the Random Parameter Ordered Logit model was applied to derive fixed parameter factors that have the same effect on the severity of intercity bus accidents and Random Parameters that consider the heterogeneity of unique attributes by accident. It also analyzed the marginal effect of intercity bus accident severity. As a result of this study, the influencing factors that reflect heterogeneity with random parameters were driver’s condition: drowsiness, vehicle size: medium, crash type: vehicle–pedestrian accident, road condition: wet pavement, and log form of AADT. The random parameter ordered logit model was traditionally found to be more suitable than the ordinal logit model, which only reflects fixed factors and more reliable predictions considering the heterogeneity of accident characteristics for each observation.
53	13f4b76e8c103595c765e82534e4895cfe2fb26c	2022		The basal ganglia achieve a higher signal-to-noise ratio than the cerebellum by sharpening reward and movement signals			
54	ce02d657eb702fdca0bc8fd3b766763ec838f1f3	2025	10.1145/3768292.3770416	JaxMARL-HFT: GPU-Accelerated Large-Scale Multi-Agent Reinforcement Learning for High-Frequency Trading	International Conference on AI in Finance	JournalArticle	Agent-based modelling (ABM) approaches for high-frequency financial markets are difficult to calibrate and validate, partly due to the large parameter space created by defining fixed agent policies. Multi-agent reinforcement learning (MARL) enables more realistic agent behaviour and reduces the number of free parameters, but the heavy computational cost has so far limited research efforts. To address this, we introduce JaxMARL-HFT (JAX-based Multi-Agent Reinforcement Learning for High-Frequency Trading), the first GPU-accelerated open-source multi-agent reinforcement learning environment for high-frequency trading (HFT) on market-by-order (MBO) data. Extending the JaxMARL framework and building on the JAX-LOB implementation, JaxMARL-HFT is designed to handle a heterogeneous set of agents, enabling diverse observation/action spaces and reward functions. It is designed flexibly, so it can also be used for single-agent RL, or extended to act as an ABM with fixed-policy agents. Leveraging JAX enables up to a 240x reduction in end-to-end training time, compared with state-of-the-art reference implementations on the same hardware. This significant speed-up makes it feasible to exploit the large, granular datasets available in high-frequency trading, and to perform the extensive hyperparameter sweeps required for robust and efficient MARL research in trading. We demonstrate the use of JaxMARL-HFT with independent Proximal Policy Optimization (IPPO) for a two-player environment, with an order execution and a market making agent, using one year of LOB data (400 million orders), and show that these agents learn to outperform standard benchmarks. The code for the JaxMARL-HFT framework is available on GitHub 1.
55	427256a6a6fd860093d6c57e504145fb5459022b	2025	10.1007/s11370-025-00622-0	A reinforcement learning approach for multi-goal motion planning of autonomous ground vehicles in cluttered environments	Intelligent Service Robotics	JournalArticle	
56	41668f9c83252752b21a388acc2a620734173cc2	2025	10.1109/ACCESS.2025.3576500	Attention-Guided Deep Reinforcement Learning for Realistic Neural Painting	IEEE Access	JournalArticle	Neural painting aims to produce realistic artworks using stroke sequences, having attracted considerable interest from academia and industry. Previous methods often focus on minimizing the total color distance, neglecting distinctions between foreground and background objects. In contrast, human artists typically prioritize important content over background details. Motivated by this observation, we propose an attention-guided deep reinforcement learning framework for stroke planning that emulates human painting processes. Our approach consists of an attention-guided policy network that generates stroke parameters and a stroke rendering network that updates the canvas. The networks interact iteratively: the policy proposes stroke parameters based on attention maps, while the renderer applies them and feeds updated canvas states back to the policy. Specifically, the attention module computes an attention map to guide stroke generation, and a feature-masked reward function prioritizes important regions. Experiments demonstrate that our method achieves high-fidelity rendering of foreground objects with fine details, while approximating backgrounds with coarser strokes. This approach produces visually appealing paintings using significantly fewer strokes compared to existing methods.
57	06a149ce16748d99b25b15fee098b32946602c65	2026	10.48550/arXiv.2604.20707	Generative Flow Networks for Model Adaptation in Digital Twins of Natural Systems	arXiv.org	JournalArticle	Digital twins of natural systems must remain aligned with physical systems that evolve over time, are only partially observed, and are typically modeled by mechanistic simulators whose parameters cannot be measured directly. In such settings, model adaptation is naturally posed as a simulation-based inference problem. However, sparse and indirect observations often fail to identify a unique and optimal calibration, leaving several simulator parameterizations compatible with the available evidence. This article presents a GFlowNet-based approach to model adaptation for digital twins of natural systems. We formulate adaptation as a generative modeling problem over complete simulator configurations, so that plausible parameterizations can be sampled with probability proportional to a reward derived from agreement between simulated and observed behavior. Using a controlled environment agriculture case study based on a mechanistic tomato model, we show that the learned policy recovers dominant regions of the adaptation landscape, retrieves strong calibration hypotheses, and preserves multiple plausible configurations under uncertainty.
58	433d9b164de0bc6ddd6e0a03c33e6b37c294aed8	2026	10.1109/OJCOMS.2026.3693148	Federated Hierarchical Reinforcement Learning for Resilient Spectrum Sharing in 6G Non-Terrestrial Networks	IEEE Open Journal of the Communications Society	JournalArticle	High-altitude platform stations (HAPS) offer a pragmatic backbone for extending 6G non-terrestrial networks (NTNs) into dense urban cores, sparsely connected remote regions, and disaster-stricken areas. In these environments, cognitive radio networks (CRNs) must arbitrate spectrum access without trusting all agents or relying on intact terrestrial backhaul. Accordingly, in the present study, we propose a federated hierarchical reinforcement learning (F-HRL) framework where secondary users (SUs) cooperatively access primary users’ (PUs) spectrum, ground next-generation Node Bs (gNBs) and uncrewed aerial vehicles (UAVs) enforce trust-aware scheduling, while HAPS coordinators perform Byzantine-resilient aggregation using satellite backhaul. Area-specific reward shaping allows the same policy stack to prioritize spectral efficiency in urban deployments, coverage in remote regions, and rapid recovery after infrastructure loss. We benchmark F-HRL against non-cognitive baselines, simple heuristics, and the hierarchical deep reinforcement learning framework across the following three key scenarios over 5 000 decision steps: nominal spectrum sharing, disaster recovery with a gNB outage, and adversarial environments with malicious SUs. Experimental results demonstrate that F-HRL achieves a nearly 8-fold higher spectrum efficiency than the non-cognitive operation, maintains 86% SU quality-of-service (QoS) satisfaction with a Jain fairness index of 0.950, and sustains over 95% of nominal throughput during infrastructure failures. Under attack conditions with 25% compromised agents, trust-weighted aggregation successfully isolates malicious updates while preserving legitimate throughput. These findings demonstrate that HAPS-centric F-HRL provides adaptive, secure, and resilient spectrum management for future NTN deployments.
59	3820dca7d376347187c0ca64a66ae6bf2417c846	2025	10.48550/arXiv.2502.01237	The Differences Between Direct Alignment Algorithms are a Blur	arXiv.org	JournalArticle	Direct Alignment Algorithms (DAAs) simplify LLM alignment by directly optimizing policies, bypassing reward modeling and RL. While DAAs differ in their use of SFT (one-stage vs. two-stage) and the scalar score they optimize (likelihood vs. odds ratios), the key performance drivers remain underexplored. We present a systematic comparison and analyze a previously overlooked axis - the ranking objective (pairwise vs. pointwise). To isolate this factor, we propose a unified training framework across DAAs by (i) converting one-stage methods (ORPO, ASFT) into a two-stage pipeline with an explicit SFT phase and (ii) introducing a $\beta$ parameter that places all methods in the same hyperparameter space and improves the quality of odds-ratio DAAs (ORPO, ASFT). Under this setup, the ranking objective emerges as the primary determinant of alignment quality, whereas the particular scalar score (policy-reference ratio vs. odds ratio) is secondary. We corroborate this on instruction-following tasks and further confirm it on math-reasoning benchmarks across model scales. Evidence suggests that this stems from how these objectives interact with prompt-specific biases, supported both by strictly controlled experiments and by observations on real data. Our findings underscore the need for nuanced evaluations in DAA research to avoid oversimplified claims of superiority.
60	f74b9eca805ab2138d1560970c1fd5375722bc7e	2025		A Semi Centralized Training Decentralized Execution Architecture for Multi Agent Deep Reinforcement Learning in Traffic Signal Control			Multi-agent reinforcement learning (MARL) has emerged as a promising paradigm for adaptive traffic signal control (ATSC) of multiple intersections. Existing approaches typically follow either a fully centralized or a fully decentralized design. Fully centralized approaches suffer from the curse of dimensionality, and reliance on a single learning server, whereas purely decentralized approaches operate under severe partial observability and lack explicit coordination resulting in suboptimal performance. These limitations motivate region-based MARL, where the network is partitioned into smaller, tightly coupled intersections that form regions, and training is organized around these regions. This paper introduces a Semi-Centralized Training, Decentralized Execution (SEMI-CTDE) architecture for multi intersection ATSC. Within each region, SEMI-CTDE performs centralized training with regional parameter sharing and employs composite state and reward formulations that jointly encode local and regional information. The architecture is highly transferable across different policy backbones and state-reward instantiations. Building on this architecture, we implement two models with distinct design objectives. A multi-perspective experimental analysis of the two implemented SEMI-CTDE-based models covering ablations of the architecture's core elements including rule based and fully decentralized baselines shows that they achieve consistently superior performance and remain effective across a wide range of traffic densities and distributions.
61	bbaf9df7d460e419c7825c293a6c791626653ec5	2023	10.1109/ICRA57147.2024.10610155	ManyQuadrupeds: Learning a Single Locomotion Policy for Diverse Quadruped Robots	IEEE International Conference on Robotics and Automation	JournalArticle	Learning a locomotion policy for quadruped robots has traditionally been constrained to a specific robot morphology, mass, and size. The learning process must usually be repeated for every new robot, where hyperparameters and reward function weights must be re-tuned to maximize performance for each new system. Alternatively, attempting to train a single policy to accommodate different robot sizes, while maintaining the same degrees of freedom (DoF) and morphology, requires either complex learning frameworks, or mass, inertia, and dimension randomization, which leads to prolonged training periods. In our study, we show that drawing inspiration from animal motor control allows us to effectively train a single locomotion policy capable of controlling a diverse range of quadruped robots. The robot differences encompass: a variable number of DoFs, (i.e. 12 or 16 joints), three distinct morphologies, a broad mass range spanning from 2 kg to 200 kg, and nominal standing heights ranging from 18 cm to 100 cm. Our policy modulates a representation of the Central Pattern Generator (CPG) in the spinal cord, effectively coordinating both frequencies and amplitudes of the CPG to produce rhythmic output (Rhythm Generation), which is then mapped to a Pattern Formation (PF) layer. Across different robots, the only varying component is the PF layer, which adjusts the scaling parameters for the stride height and length. Subsequently, we evaluate the sim-to-real transfer by testing the single policy on both the Unitree Go1 and A1 robots. Remarkably, we observe robust performance, even when adding a 15 kg load, equivalent to 125% of the A1 robot’s nominal mass.
62	e790089b88e27138441da5e54e27cbed69c13036	2020	10.1109/SIU49456.2020.9302354	Multi Center Polyhedral Conic Classifiers for Estimating Non-Linear Decision Boundaries	Signal Processing and Communications Applications Conference	Conference	—Polyhedral conic classifiers are getting popular with the performance against support vector machines (SVM). In these classifiers a conic function with a vertex point is used. Vertex point is an important parameter and improves the performance when it is set to the mean of positive samples. In cases where positive data belonging to the same class are clustered in different regions, a single classifier is not enough, and more than one classifier is needed. In this study, a novel multi center polyhedral conic classifiers (MCPCC) method is developed to use only one classifier to classify positive data clustered in different centers. Experiments are performed on two synthetic datasets using proposed method. The proposed method was compared with Kernel SVM and other polyhedral conic classifiers and it was found to give impressive results.
63	933d99e076fc96df3cde7720f337e4af32f06809	2026		Reinforcement Learning for Flow-Matching Policies with Density Transport			We present an online reinforcement learning (RL) algorithm for fine-tuning flow-matching policies in continuous-control problems. Our key insight is to view RL-based policy improvement as a transport of action densities towards regions of high reward, which naturally aligns with the transport formulation of flow matching models. Prior methods either approximate the current or optimal policy distribution or resort to distillation, which introduces biased gradients or sacrifices multimodal modeling capacity. In contrast, our approach for RL with Density Transport, which we name \emph{RLDT}, constructs a transport field from a maximum-entropy RL objective using Stein Variational Gradient Descent (SVGD). Then, it finetunes a pretrained flow matching policy to align with this field. Training with this alignment objective is nontrivial because flow-matching policies generate actions via a multi-step process, making direct gradient-based optimization challenging. To overcome this challenge and stabilize training, we approximate policy actions from intermediate denoising steps via expected-target estimation. This allows the transport-field update to propagate into the network parameters without unstable backpropagation through time. Experimental results demonstrate that RLDT outperforms competitive baselines in reward quality and convergence speed. This performance holds across diverse continuous-control tasks, encompassing both dense and sparse rewards, as well as state- and vision-based long-horizon robot manipulation. The project webpage is \href{https://rpfey.github.io/rldt/}{https://rpfey.github.io/rldt/}.
64	9d06e18ea4cfb30f1e7a04406621db0c7ac4002f	2026	10.48550/arXiv.2605.15026	SemaTune: Semantic-Aware Online OS Tuning with Large Language Models	arXiv.org	JournalArticle	
65	d58b87dee80953543654e325633a4e89412c2ae0	2026	10.5220/0015234600004088	TLA-Prover: Verifiable TLA+ Specification Synthesis via Preference-Optimized Low-Rank Adaptation	Proceedings of the 21st International Conference on Software Technologies	Conference	TLA+ is a formal specification language for verifying distributed systems and safety-critical protocols. Large language models (LLMs) frequently produce TLA+ specifications that fail the TLC model checker for semantic reasons. Across 25 LLMs, the best public baseline is 26.6% syntactic parse and 8.6% semantic model-check. We present TLA-Prover, a 20-billion-parameter model for TLA+ specification synthesis. Training combines supervised fine-tuning (SFT) on verified examples with repair-based group-relative policy optimization (GRPO). In the GRPO stage, the model learns to fix its own rejected specifications. We also train a direct preference optimization (DPO) variant from the same SFT checkpoint as an ablation. TLC provides the reward signal directly, with no learned reward model. Four tiers grade each output: Bronze (parses), Silver (no warnings), Gold (passes TLC), and Diamond. To reach Diamond, the model's correctness property is automatically altered in a small way; TLC must then detect a violation. If TLC still passes, the property was always-true and contributes nothing; the output fails Diamond. TLA-Prover reaches 9/30 (i.e. pass@1 = 30%) at both Gold and Diamond on a held-out 30-problem benchmark. This is roughly 3.5x the 8.6% untuned baseline. The DPO variant reaches 20% at Diamond. Gold and Diamond coincide at every checkpoint; this prevents the trivial-property failure mode.
66	621af9d3764bb2cf98a6aabe343752360de55d3d	2026		Self-Evolution for Multi-Turn Tool-Calling Agents via Divergence-Point Preference Learning			Multi-turn tool-using agents must coordinate long-horizon tool sequences while tracking dialogue state and policy constraints. Existing approaches often separate inference-time orchestration from parameter-level learning, leaving tool selection weakly structured and preference updates vulnerable to train--deployment prompt mismatch. For within-benchmark self-improvement, ToolGraph combines schema-derived topology, transition weights estimated from successful rollouts, and history-aware controls for write prerequisites and repeated-search loops. We then construct 161 preference pairs by locating divergence points via state-based matching and prefix-based alignment, filtered through action-correctness annotations, and train DPO under the same ToolGraph context used at inference. Across 375 tau2-bench tasks, ToolGraph raises the weighted average reward from 0.304 to 0.338 (+11.2% relative), while ToolGraph+DPO reaches 0.355 (+16.8% over the baseline), with the DPO gain concentrated in airline and retail. Fine-grained diagnostics further show that roughly half of telecom trajectories exhaust the step budget before action execution and that chosen reward positivity is the most useful checkpoint signal across our 16 evaluated DPO configurations.
67	486cdbcca121ed484801049b91c441b31bda7d15	2026	10.1063/5.0317314	Reinforcement-learning optimization of vortex enstrophy in two-pair cavity microfluidic flows	The Physics of Fluids	JournalArticle	We develop a closed-loop “Proximal Policy Optimization (PPO)-OpenFOAM” optimization workflow to search the geometric parameters of a two-pair cavity device (a single main channel with four cavities arranged as two vertically symmetric pairs) under laminar conditions (Re=50−150). The geometry is characterized by seven tunable parameters under symmetry and manufacturability constraints. Each candidate geometry is evaluated using a two-dimensional steady incompressible laminar solver in OpenFOAM. The reward signal is constructed from the domain-averaged enstrophy (i.e., the volume average of squared vorticity magnitude) with logarithmic scaling, aiming to enhance the cavity-mouth shear layer and recirculation structures inside the cavities. Across three trainings with different random seeds, PPO sustains higher late-stage rewards than unguided random sampling, while different seeds exhibit distinct convergence paths, suggesting multiple local high-reward regions in the constrained design space. We compare a representative pair of high- and low-reward geometries: the reward increases from about 0.30 to 1.01, corresponding to an approximately fivefold gain in domain-averaged enstrophy. Flow-field comparisons show that high-reward geometries feature a narrower main channel and a more resistive outlet configuration, strengthening velocity gradients at the cavity mouth and maintaining a stable single-core recirculation. Finally, three-dimensional high-resolution computations indicate that finite wall-induced viscous effects shift the recirculation closure upstream and reduce vortex size in the downstream cavity pair; under the present conditions, clear paired Dean-type secondary vortices are not observed. These results highlight that, in computational fluid dynamics-in-the-loop scenarios with limited computational budgets, reinforcement learning with an enstrophy-based reward can generate manufacturable microfluidic vortex geometries and provide interpretable diagnostics of differences between two- and three-dimensional physics.
68	b24d065d19ac67cf727982ea33616756fe352cbd	2026		HetGPS: Scalable Graph Multi-Agent Reinforcement Learning with Physics-Anchored Adaptive Safety for EV Charging			Safety interventions for large populations of network-coupled agents must protect shared constraints without unnecessarily overriding task-oriented policy decisions. We present HetGPS, a hybrid graph-control framework synergizing learned graph risk with physics-anchored correction by separating intervention magnitude from corrective direction. An action-conditioned graph residual model schedules state-dependent intervention authority, while a physics model determines its direction. For electric vehicle (EV) charging, we couple this filter with a parameter-shared heterogeneous graph soft actor-critic policy, enabling topology-aware coordination with a learned model size independent of fleet size. Across five nested distribution networks with 200--3,218 EVs and 100 evaluation days, Adaptive Authority reduces bus--step voltage violations from 3.93--7.74\% without filtering to 0.52--3.44\%, while maintaining 99.06--100\% departure success. Relative to the same physics-directed projection with fixed authority, it improves mean reward on all five networks and lowers the mean safety score on four. The deployed policy-and-risk model contains 383,702 learned parameters at every scale; at 3,218 EVs, a matched centralized SAC actor is about $170\times$ larger. A policy trained on the eight-transformer system transfers zero-shot to the 16- and 32-transformer systems, attaining 0.57--0.75\% violation rates and at least 99.99\% departure success. These results show that learned graph risk can allocate intervention authority at scale while feeder physics anchors corrective action.
69	e94f471edf3ecd501853ae81c77b147459eac74f	2026	10.5220/0014345500004052	From First Price to All Pay: Smooth Transfer Learning in Sealed-Bid Auctions	International Conference on Agents and Artificial Intelligence	JournalArticle	: We investigate smooth transfer learning in multi-agent reinforcement learning, applied to sealed-bid auctions. Instead of abruptly switching environments, we gradually vary them so that agents can adapt as incentives change over time. As a concrete setup, we move from the first price auction to all-pay auction along a payment parameter t , using the fact that both formats share the same sealed-bid structure and differ only in how non-winners pay. We first train to convergence in the first price auction and then increase t in small steps toward all-pay, so the reward changes smoothly and the policies adapt continuously. Across private value settings, smooth transfer speeds up convergence in the target format and improves policy quality relative to training from scratch, yielding policies closer to theoretical best responses, mitigating local equilibrium failures common in all-pay when trained from scratch, and achieving faster stabilization and higher returns. Gains persist for moderately large agent counts, although margins decrease as N increases. These results support smooth transfer as a practical route to scalable learning in auction environments and complement prior work on step-wise transfer over the number of agents.
70	1c9c63ccda1df9a778b608f45a7844e75de355d1	2026	10.48550/arXiv.2604.03768	RL-Driven Sustainable Land-Use Allocation for the Lake Malawi Basin	arXiv.org	JournalArticle	Unsustainable land-use practices in ecologically sensitive regions threaten biodiversity, water resources, and the livelihoods of millions. This paper presents a deep reinforcement learning (RL) framework for optimizing land-use allocation in the Lake Malawi Basin to maximize total ecosystem service value (ESV). Drawing on the benefit transfer methodology of Costanza et al., we assign biome-specific ESV coefficients -- locally anchored to a Malawi wetland valuation -- to nine land-cover classes derived from Sentinel-2 imagery. The RL environment models a 50x50 cell grid at 500m resolution, where a Proximal Policy Optimization (PPO) agent with action masking iteratively transfers land-use pixels between modifiable classes. The reward function combines per-cell ecological value with spatial coherence objectives: contiguity bonuses for ecologically connected land-use patches (forest, cropland, built area etc.) and buffer zone penalties for high-impact development adjacent to water bodies. We evaluate the framework across three scenarios: (i) pure ESV maximization, (ii) ESV with spatial reward shaping, and (iii) a regenerative agriculture policy scenario. Results demonstrate that the agent effectively learns to increase total ESV; that spatial reward shaping successfully steers allocations toward ecologically sound patterns, including homogeneous land-use clustering and slight forest consolidation near water bodies; and that the framework responds meaningfully to policy parameter changes, establishing its utility as a scenario-analysis tool for environmental planning.
71	16caf4508931effb6c24585c508cf2a721112fef	2026		OvisOCR2 Technical Report			We introduce OvisOCR2, a 0.8B document parsing model. OvisOCR2 is designed as an end-to-end parser: given a document page image, it generates a Markdown representation in natural reading order, covering text, formulas, tables, and visual regions. We build a data engine that combines filtered real-document annotations with synthetic pages whose rendered images and Markdown targets are derived from the same HTML source. The training recipe includes supervised fine-tuning, reinforcement learning on a 4B branch with a multi-component reward design, on-policy distillation into the 0.8B model, and model fusion. On OmniDocBench v1.6, OvisOCR2 achieves a state-of-the-art overall score of 96.58, placing an end-to-end model at the top of this leaderboard previously dominated by pipeline methods and highlighting the potential of end-to-end document parsing. On PureDocBench, OvisOCR2 also achieves the highest Avg3 score of 75.06. Beyond these two public benchmarks, we evaluate OvisOCR2 on an in-house benchmark designed to cover a broader set of long-tail and challenging scenarios. OvisOCR2 obtains the best overall performance among the compared methods, providing further evidence of its generalization and robustness. OvisOCR2 is available at https://huggingface.co/ATH-MaaS/OvisOCR2.
72	77162210eba369cd6d76e70ce119497c3f9f627a	2026	10.48550/arXiv.2604.23318	Hidden States Know Where Reasoning Diverges: Credit Assignment via Span-Level Wasserstein Distance	arXiv.org	JournalArticle	Group Relative Policy Optimization (GRPO) performs coarse-grained credit assignment in reinforcement learning with verifiable rewards (RLVR) by assigning the same advantage to all tokens in a rollout. Process reward models can provide finer-grained supervision, but they require step-level annotation or additional reward modeling. We show that hidden-state distributions contain a useful signal for local reasoning quality that can be extracted using only outcome-level correctness labels available in RLVR. Specifically, within each GRPO group, the Wasserstein distance between span-level hidden state distributions of correct and incorrect rollouts increases around regions where their local reasoning quality diverges. This association holds both across examples and within individual trajectories, suggesting that hidden-state distributional divergence can serve as a self-supervision signal for fine-grained credit assignment. We formalize this observation with a separation theorem showing that, under mild structural assumptions, post-divergence spans have larger Wasserstein distances than pre-divergence spans whenever the population-level distributional gap exceeds finite-sample noise. Motivated by this result, we propose \textbf{S}pan-level \textbf{H}idden state \textbf{E}nabled \textbf{A}dvantage \textbf{R}eweighting (SHEAR), which modifies GRPO by using span-level Wasserstein distances to scale token-level advantages, amplifying updates on tokens whose hidden states are more separated from the opposing group. The method requires no additional model and only minimal changes to the training pipeline. Experiments on five mathematical reasoning benchmarks and five code generation benchmarks show improvements over standard GRPO and strong performance relative to supervised process reward models, while requiring no additional annotation or reward model training.
73	d888cb24451281fdd20a480090f0837de5855b32	2026		TuxBot: Semantic-Aware Online OS Tuning with Large Language Models			Online OS tuning can improve long-running services, but existing controllers are poorly matched to live hosts. They treat scheduler, power, memory, and I/O controls as black-box variables and optimize a scalar reward. This view ignores cross-knob policy structure, breaks down when application metrics are unavailable, and can send a running service into degraded regions that persist after the bad setting is removed. We present TuxBot, a host-side framework for steady-state OS tuning with bounded language-model guidance. TuxBot turns knob schemas, telemetry, current configuration, recent action--response history, and retrieved prior runs into a compact decision context. A fast loop proposes low-latency updates, a slower loop periodically revises the search strategy, and every proposed change passes through typed validation before reaching kernel or sysctl interfaces. This lets the controller reason about OS-control meaning and indirect performance signals while keeping model cost, latency, and authority constrained. We evaluate TuxBot on 13 live workloads from five benchmark suites while tuning up to 41 Linux parameters. Across the suite, TuxBot improves stable-phase performance by 72.5% over default settings and by 153.3% relative to the strongest non-LLM baseline. A 30-window session costs about $0.20 in model calls. With only host-level metrics, TuxBot still outperforms baselines given direct application objectives by 93.7 percentage points, while avoiding severe degraded regions reached by structure-blind exploration.
